"X1.Probability","X1.JC","X1.RP","X1.RedBlack"
0.086,0.443,0.365,1
0.087,0.441,0.365,1
0.088,0.439,0.365,1
0.089,0.437,0.365,1
0.09,0.435,0.365,1
0.091,0.433,0.365,1
0.092,0.431,0.365,1
0.093,0.429,0.365,1
0.094,0.427,0.365,1
0.095,0.425,0.365,1
0.096,0.423,0.365,1
0.097,0.421,0.365,1
0.098,0.419,0.365,1
0.099,0.417,0.365,1
0.1,0.415,0.365,1
0.101,0.413,0.365,1
0.102,0.411,0.365,1
0.103,0.409,0.365,1
0.104,0.407,0.365,1
0.105,0.405,0.365,1
0.106,0.403,0.365,1
0.107,0.401,0.365,1
0.108,0.399,0.365,1
0.109,0.397,0.365,1
0.11,0.395,0.365,1
0.111,0.393,0.365,1
0.112,0.391,0.365,1
0.113,0.389,0.365,1
0.114,0.387,0.365,1
0.115,0.385,0.365,1
0.116,0.383,0.365,1
0.117,0.381,0.365,1
0.118,0.379,0.365,1
0.119,0.377,0.365,1
0.12,0.375,0.365,1
0.121,0.373,0.365,1
0.122,0.371,0.365,1
0.123,0.369,0.365,1
0.124,0.367,0.365,1
0.125,0.365,0.365,1
0.126,0.363,0.365,1
0.127,0.361,0.365,1
0.128,0.359,0.365,1
0.129,0.357,0.365,1
0.13,0.355,0.365,1
0.131,0.353,0.365,1
0.132,0.351,0.365,1
0.133,0.349,0.365,1
0.134,0.347,0.365,1
0.135,0.345,0.365,1
0.136,0.343,0.365,1
0.137,0.341,0.365,1
0.138,0.339,0.365,1
0.139,0.337,0.365,1
0.14,0.335,0.365,1
0.141,0.333,0.365,1
0.142,0.331,0.365,1
0.143,0.329,0.365,1
0.144,0.327,0.365,1
0.145,0.325,0.365,1
0.146,0.323,0.365,1
0.147,0.321,0.365,1
0.148,0.319,0.365,1
0.149,0.317,0.365,1
0.15,0.315,0.365,1
0.151,0.313,0.365,1
0.152,0.311,0.365,1
0.153,0.309,0.365,1
0.154,0.307,0.365,1
0.155,0.305,0.365,1
0.156,0.303,0.365,1
0.157,0.301,0.365,1
0.158,0.299,0.365,1
0.159,0.297,0.365,1
0.16,0.295,0.365,1
0.161,0.293,0.365,1
0.162,0.291,0.365,1
0.163,0.289,0.365,1
0.164,0.287,0.365,1
0.165,0.285,0.365,1
0.166,0.283,0.365,1
0.167,0.281,0.365,1
0.168,0.279,0.365,1
0.169,0.277,0.365,1
0.17,0.275,0.365,1
0.171,0.273,0.365,1
0.172,0.271,0.365,1
0.173,0.269,0.365,1
0.174,0.267,0.365,1
0.175,0.265,0.365,1
0.176,0.263,0.365,1
0.177,0.261,0.365,1
0.178,0.259,0.365,1
0.179,0.257,0.365,1
0.18,0.255,0.365,1
0.181,0.253,0.365,1
0.182,0.251,0.365,1
0.183,0.249,0.365,1
0.184,0.247,0.365,1
0.185,0.245,0.365,1
0.186,0.243,0.365,1
0.187,0.241,0.365,1
0.188,0.239,0.365,1
0.189,0.237,0.365,1
0.19,0.235,0.365,1
0.191,0.233,0.365,1
0.192,0.231,0.365,1
0.193,0.229,0.365,1
0.194,0.227,0.365,1
